304580,337022.0,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0
337022,378301.0,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0
378301,418295.0,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0
418295,467817.0,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0
467817,529722.0,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0
529722,593764.0,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0
593764,661174.0,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0
661174,720291.0,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0
720291,782816.0,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0
782816,857608.0,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0
857608,933010.0,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0
933010,1013863.0,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0
1013863,1096324.0,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0
1096324,1176436.0,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0
1176436,1249743.0,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0
1249743,1321436.0,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0
1321436,1396438.0,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0
1396438,1480232.0,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0
1480232,1566102.0,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0
1566102,1658261.0,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0
1658261,1736412.0,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0
1736412,1835145.0,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0
1835145,1905165.0,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0
1905165,1975566.0,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0,3097229.0
1975566,2055748.0,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0,3097229.0,3172287.0
2055748,2152181.0,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0,3097229.0,3172287.0,3256910.0
2152181,2239990.0,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0,3097229.0,3172287.0,3256910.0,3345558.0
2239990,2317636.0,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0,3097229.0,3172287.0,3256910.0,3345558.0,3427584.0
2317636,2400787.0,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0,3097229.0,3172287.0,3256910.0,3345558.0,3427584.0,3506729.0
2400787,2472109.0,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0,3097229.0,3172287.0,3256910.0,3345558.0,3427584.0,3506729.0,3583055.0
2472109,2549046.0,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0,3097229.0,3172287.0,3256910.0,3345558.0,3427584.0,3506729.0,3583055.0,3662691.0
2549046,2624608.0,2708403.0,2795731.0,2881140.0,2955033.0,3023722.0,3097229.0,3172287.0,3256910.0,3345558.0,3427584.0,3506729.0,3583055.0,3662691.0,3756069.0
